,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,perturbation,transformer_model
0,0.893073,0.827034,0.681436,0.89341,acomp_focusing_like,google/rembert
1,0.893073,0.827034,0.701013,0.89341,aint_be,google/rembert
2,0.893073,0.827034,0.69976,0.892401,aint_before_main,google/rembert
3,0.893073,0.827034,0.700893,0.89341,aint_have,google/rembert
4,0.893073,0.827034,0.683966,0.89341,analytic_superlative,google/rembert
5,0.893073,0.827034,0.701013,0.89341,analytic_whose_relativizer,google/rembert
6,0.893073,0.827034,0.701013,0.89341,anaphoric_it,google/rembert
7,0.893073,0.827034,0.700893,0.891392,bare_past_tense,google/rembert
8,0.893073,0.827034,0.700893,0.892737,bare_perfect,google/rembert
9,0.893073,0.827034,0.700464,0.893073,be_perfect,google/rembert
10,0.893073,0.827034,0.701013,0.89341,benefactive_dative,google/rembert
11,0.893073,0.827034,0.702044,0.893073,chaining_main_verbs,google/rembert
12,0.893073,0.827034,0.636973,0.883322,clefting,google/rembert
13,0.893073,0.827034,0.699966,0.893073,come_future,google/rembert
14,0.893073,0.827034,0.701013,0.89341,comparative_as_to,google/rembert
15,0.893073,0.827034,0.701013,0.89341,comparative_more_and,google/rembert
16,0.893073,0.827034,0.701013,0.89341,comparative_than,google/rembert
17,0.893073,0.827034,0.690709,0.89341,completive_done,google/rembert
18,0.893073,0.827034,0.686126,0.893073,completive_have_done,google/rembert
19,0.893073,0.827034,0.701013,0.89341,conditional_were_was,google/rembert
20,0.893073,0.827034,0.699639,0.893746,corr_conjunction_doubling,google/rembert
21,0.893073,0.827034,0.701013,0.89341,degree_adj_for_adv,google/rembert
22,0.893073,0.827034,0.697466,0.893746,demonstrative_for_definite_articles,google/rembert
23,0.893073,0.827034,0.299656,0.860121,do_tense_marker,google/rembert
24,0.893073,0.827034,0.701013,0.89341,dont,google/rembert
25,0.893073,0.827034,0.698162,0.89341,double_comparative,google/rembert
26,0.893073,0.827034,0.625322,0.89341,double_modals,google/rembert
27,0.893073,0.827034,0.683849,0.89341,double_superlative,google/rembert
28,0.893073,0.827034,0.690141,0.89341,drop_aux_be_progressive,google/rembert
29,0.893073,0.827034,0.692083,0.893073,drop_aux_have,google/rembert
30,0.893073,0.827034,0.701013,0.89341,drop_aux_wh,google/rembert
31,0.893073,0.827034,0.660941,0.888366,drop_aux_yn,google/rembert
32,0.893073,0.827034,0.699296,0.892401,drop_copula_be_AP,google/rembert
33,0.893073,0.827034,0.689809,0.890047,drop_copula_be_NP,google/rembert
34,0.893073,0.827034,0.692202,0.893073,drop_copula_be_locative,google/rembert
35,0.893073,0.827034,0.698647,0.892065,em_subj_pronoun,google/rembert
36,0.893073,0.827034,0.70067,0.89341,emphatic_reflex,google/rembert
37,0.893073,0.827034,0.689703,0.893073,existential_got,google/rembert
38,0.893073,0.827034,0.701477,0.893073,existential_it,google/rembert
