,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,transformer_model
0,0.772676,0.57404,0.53577,0.768197,distilbert-base-multilingual-cased
1,0.778275,0.640725,0.603469,0.771557,bert-base-multilingual-cased
2,0.790594,0.848772,0.818247,0.787234,google/rembert
3,0.745801,0.584183,0.540328,0.742441,distilbert-base-multilingual-cased
4,0.74916,0.668751,0.636507,0.74804,microsoft/Multilingual-MiniLM-L12-H384
5,0.789474,0.757967,0.721167,0.788354,xlm-roberta-base
6,0.790594,0.799299,0.770138,0.787234,microsoft/mdeberta-v3-base
7,0.743561,0.707053,0.671096,0.741321,microsoft/Multilingual-MiniLM-L12-H384
8,0.792833,0.849823,0.82948,0.789474,google/rembert
9,0.793953,0.813253,0.781363,0.792833,microsoft/mdeberta-v3-base
10,0.772676,0.639732,0.580874,0.769317,bert-base-multilingual-cased
11,0.792833,0.769471,0.728834,0.789474,xlm-roberta-base
12,0.790594,0.821335,0.794913,0.789474,google/rembert
13,0.75252,0.58405,0.552826,0.74916,distilbert-base-multilingual-cased
14,0.781635,0.812423,0.780261,0.788354,microsoft/mdeberta-v3-base
15,0.788354,0.79734,0.756641,0.782755,xlm-roberta-base
16,0.7514,0.663623,0.63989,0.75252,microsoft/Multilingual-MiniLM-L12-H384
17,0.772676,0.620073,0.587979,0.761478,bert-base-multilingual-cased
18,0.787234,0.806299,0.777996,0.783875,microsoft/mdeberta-v3-base
19,0.790594,0.804135,0.755174,0.789474,xlm-roberta-base
20,0.704367,0.691495,0.662196,0.703247,microsoft/Multilingual-MiniLM-L12-H384
21,0.768197,0.600873,0.564285,0.768197,bert-base-multilingual-cased
22,0.791713,0.834187,0.804301,0.787234,google/rembert
23,0.788354,0.774687,0.745273,0.790594,microsoft/mdeberta-v3-base
24,0.792833,0.795478,0.757865,0.790594,xlm-roberta-base
25,0.74804,0.565863,0.511847,0.745801,distilbert-base-multilingual-cased
26,0.730123,0.562258,0.534382,0.727884,distilbert-base-multilingual-cased
27,0.796193,0.836778,0.813933,0.790594,google/rembert
28,0.75252,0.635192,0.589286,0.745801,bert-base-multilingual-cased
29,0.772676,0.727719,0.698701,0.768197,microsoft/Multilingual-MiniLM-L12-H384
