,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,perturbation,transformer_model
0,0.724993,0.669969,0.669504,0.724711,perturb_2_verb_clusters,bert-base-multilingual-cased
1,0.724993,0.669969,0.669711,0.724993,perturb_als_in_comparative_constructions,bert-base-multilingual-cased
2,0.724993,0.669969,0.664241,0.724711,perturb_am_infinitive,bert-base-multilingual-cased
3,0.724993,0.669969,0.540324,0.723584,perturb_article_before_personal_name,bert-base-multilingual-cased
4,0.724993,0.669969,0.633398,0.723302,perturb_contracted_verb_and_pronoun,bert-base-multilingual-cased
5,0.724993,0.669969,0.669711,0.724993,perturb_da,bert-base-multilingual-cased
6,0.724993,0.669969,0.524216,0.723302,perturb_denn_in_questions,bert-base-multilingual-cased
7,0.724993,0.669969,0.669659,0.724993,perturb_double_article,bert-base-multilingual-cased
8,0.724993,0.669969,0.669659,0.724993,perturb_existential_clause,bert-base-multilingual-cased
9,0.724993,0.669969,0.663157,0.725556,perturb_genitive_to_dativ,bert-base-multilingual-cased
10,0.724993,0.669969,0.668165,0.723584,perturb_in,bert-base-multilingual-cased
11,0.724993,0.669969,0.669659,0.724993,perturb_nach,bert-base-multilingual-cased
12,0.724993,0.669969,0.669556,0.725275,perturb_negative_concord,bert-base-multilingual-cased
13,0.724993,0.669969,0.666512,0.724711,perturb_possesive_genitive,bert-base-multilingual-cased
14,0.724993,0.669969,0.669816,0.724711,perturb_relative_pronoun,bert-base-multilingual-cased
15,0.724993,0.669969,0.667702,0.721048,perturb_schwa_elision_in_verbs,bert-base-multilingual-cased
16,0.724993,0.669969,0.578239,0.622147,perturb_swap_name,bert-base-multilingual-cased
17,0.724993,0.669969,0.646682,0.710623,perturb_tun_imperativ,bert-base-multilingual-cased
18,0.75796,0.712045,0.71051,0.75796,perturb_2_verb_clusters,microsoft/Multilingual-MiniLM-L12-H384
19,0.75796,0.712045,0.71184,0.75796,perturb_als_in_comparative_constructions,microsoft/Multilingual-MiniLM-L12-H384
20,0.75796,0.712045,0.705555,0.756269,perturb_am_infinitive,microsoft/Multilingual-MiniLM-L12-H384
21,0.75796,0.712045,0.56908,0.75317,perturb_article_before_personal_name,microsoft/Multilingual-MiniLM-L12-H384
22,0.75796,0.712045,0.668367,0.75796,perturb_contracted_verb_and_pronoun,microsoft/Multilingual-MiniLM-L12-H384
23,0.75796,0.712045,0.71167,0.757678,perturb_da,microsoft/Multilingual-MiniLM-L12-H384
24,0.75796,0.712045,0.550466,0.758242,perturb_denn_in_questions,microsoft/Multilingual-MiniLM-L12-H384
25,0.75796,0.712045,0.711727,0.75796,perturb_double_article,microsoft/Multilingual-MiniLM-L12-H384
26,0.75796,0.712045,0.711727,0.75796,perturb_existential_clause,microsoft/Multilingual-MiniLM-L12-H384
27,0.75796,0.712045,0.700908,0.759369,perturb_genitive_to_dativ,microsoft/Multilingual-MiniLM-L12-H384
28,0.75796,0.712045,0.710895,0.759087,perturb_in,microsoft/Multilingual-MiniLM-L12-H384
29,0.75796,0.712045,0.711727,0.75796,perturb_nach,microsoft/Multilingual-MiniLM-L12-H384
30,0.75796,0.712045,0.711568,0.75796,perturb_negative_concord,microsoft/Multilingual-MiniLM-L12-H384
31,0.75796,0.712045,0.708887,0.758242,perturb_possesive_genitive,microsoft/Multilingual-MiniLM-L12-H384
32,0.75796,0.712045,0.711419,0.758524,perturb_relative_pronoun,microsoft/Multilingual-MiniLM-L12-H384
33,0.75796,0.712045,0.710789,0.759932,perturb_schwa_elision_in_verbs,microsoft/Multilingual-MiniLM-L12-H384
34,0.75796,0.712045,0.61846,0.671457,perturb_swap_name,microsoft/Multilingual-MiniLM-L12-H384
35,0.75796,0.712045,0.685678,0.754297,perturb_tun_imperativ,microsoft/Multilingual-MiniLM-L12-H384
36,0.759932,0.695855,0.695652,0.760214,perturb_2_verb_clusters,microsoft/Multilingual-MiniLM-L12-H384
37,0.759932,0.695855,0.695645,0.759651,perturb_als_in_comparative_constructions,microsoft/Multilingual-MiniLM-L12-H384
38,0.759932,0.695855,0.689622,0.759369,perturb_am_infinitive,microsoft/Multilingual-MiniLM-L12-H384
39,0.759932,0.695855,0.547,0.761059,perturb_article_before_personal_name,microsoft/Multilingual-MiniLM-L12-H384
