,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,perturbation,transformer_model
0,0.456624,0.425654,0.423525,0.456624,perturb_2_verb_clusters,distilbert-base-multilingual-cased
1,0.456624,0.425654,0.423988,0.456288,perturb_als_in_comparative_constructions,distilbert-base-multilingual-cased
2,0.456624,0.425654,0.413924,0.452253,perturb_am_infinitive,distilbert-base-multilingual-cased
3,0.456624,0.425654,0.351951,0.453262,perturb_article_before_personal_name,distilbert-base-multilingual-cased
4,0.456624,0.425654,0.405886,0.456624,perturb_contracted_verb_and_pronoun,distilbert-base-multilingual-cased
5,0.456624,0.425654,0.423745,0.456624,perturb_da,distilbert-base-multilingual-cased
6,0.456624,0.425654,0.323944,0.46234,perturb_denn_in_questions,distilbert-base-multilingual-cased
7,0.456624,0.425654,0.423745,0.456624,perturb_double_article,distilbert-base-multilingual-cased
8,0.456624,0.425654,0.423745,0.456624,perturb_existential_clause,distilbert-base-multilingual-cased
9,0.456624,0.425654,0.416413,0.454943,perturb_genitive_to_dativ,distilbert-base-multilingual-cased
10,0.456624,0.425654,0.417802,0.456624,perturb_in,distilbert-base-multilingual-cased
11,0.456624,0.425654,0.422018,0.455615,perturb_nach,distilbert-base-multilingual-cased
12,0.456624,0.425654,0.423745,0.456624,perturb_negative_concord,distilbert-base-multilingual-cased
13,0.456624,0.425654,0.421595,0.45696,perturb_possesive_genitive,distilbert-base-multilingual-cased
14,0.456624,0.425654,0.423745,0.456624,perturb_relative_pronoun,distilbert-base-multilingual-cased
15,0.456624,0.425654,0.417206,0.457297,perturb_schwa_elision_in_verbs,distilbert-base-multilingual-cased
16,0.456624,0.425654,0.366203,0.422327,perturb_swap_name,distilbert-base-multilingual-cased
17,0.456624,0.425654,0.373716,0.443847,perturb_tun_imperativ,distilbert-base-multilingual-cased
18,0.54842,0.509874,0.506124,0.547747,perturb_2_verb_clusters,bert-base-multilingual-cased
19,0.54842,0.509874,0.506024,0.548083,perturb_als_in_comparative_constructions,bert-base-multilingual-cased
20,0.54842,0.509874,0.495081,0.541022,perturb_am_infinitive,bert-base-multilingual-cased
21,0.54842,0.509874,0.430983,0.54573,perturb_article_before_personal_name,bert-base-multilingual-cased
22,0.54842,0.509874,0.485771,0.546066,perturb_contracted_verb_and_pronoun,bert-base-multilingual-cased
23,0.54842,0.509874,0.506319,0.54842,perturb_da,bert-base-multilingual-cased
24,0.54842,0.509874,0.386139,0.545393,perturb_denn_in_questions,bert-base-multilingual-cased
25,0.54842,0.509874,0.506319,0.54842,perturb_double_article,bert-base-multilingual-cased
26,0.54842,0.509874,0.506319,0.54842,perturb_existential_clause,bert-base-multilingual-cased
27,0.54842,0.509874,0.498818,0.547411,perturb_genitive_to_dativ,bert-base-multilingual-cased
28,0.54842,0.509874,0.502379,0.545057,perturb_in,bert-base-multilingual-cased
29,0.54842,0.509874,0.504843,0.547747,perturb_nach,bert-base-multilingual-cased
30,0.54842,0.509874,0.505924,0.54842,perturb_negative_concord,bert-base-multilingual-cased
31,0.54842,0.509874,0.505234,0.548756,perturb_possesive_genitive,bert-base-multilingual-cased
32,0.54842,0.509874,0.506319,0.54842,perturb_relative_pronoun,bert-base-multilingual-cased
33,0.54842,0.509874,0.494052,0.546066,perturb_schwa_elision_in_verbs,bert-base-multilingual-cased
34,0.54842,0.509874,0.45125,0.511432,perturb_swap_name,bert-base-multilingual-cased
35,0.54842,0.509874,0.437487,0.525891,perturb_tun_imperativ,bert-base-multilingual-cased
36,0.462677,0.421822,0.419476,0.463349,perturb_2_verb_clusters,distilbert-base-multilingual-cased
37,0.462677,0.421822,0.420246,0.462677,perturb_als_in_comparative_constructions,distilbert-base-multilingual-cased
38,0.462677,0.421822,0.407152,0.459987,perturb_am_infinitive,distilbert-base-multilingual-cased
39,0.462677,0.421822,0.349093,0.462677,perturb_article_before_personal_name,distilbert-base-multilingual-cased
40,0.462677,0.421822,0.399359,0.462677,perturb_contracted_verb_and_pronoun,distilbert-base-multilingual-cased
41,0.462677,0.421822,0.420321,0.462677,perturb_da,distilbert-base-multilingual-cased
42,0.462677,0.421822,0.320543,0.466039,perturb_denn_in_questions,distilbert-base-multilingual-cased
43,0.462677,0.421822,0.420321,0.462677,perturb_double_article,distilbert-base-multilingual-cased
44,0.462677,0.421822,0.420321,0.462677,perturb_existential_clause,distilbert-base-multilingual-cased
45,0.462677,0.421822,0.410657,0.46234,perturb_genitive_to_dativ,distilbert-base-multilingual-cased
46,0.462677,0.421822,0.417084,0.460659,perturb_in,distilbert-base-multilingual-cased
