,slot-f1,intent-acc.,intact_intent-acc.,intact_slot-f1,dataset,perturbation,split,transformer_model,random_seed,n_perturbed,dataset_config,"confusion_matrix (gold, perturbed)",success_rate,"confusion_matrix (intact, perturbed)",all_intent-acc.,all_slot-f1
0,0.8812125484666902,0.7973124300111982,0.7973124300111982,0.9231582657737046,ATIS,perturb_2_verb_clusters,test,google/rembert,5498,51,dede.ATIS,"Counter({('atis_airline', 'atis_flight'): 38, ('atis_ground_service', 'atis_flight'): 36, ('atis_airport', 'atis_flight'): 18, ('atis_abbreviation', 'atis_flight'): 18, ('atis_abbreviation', 'atis_airfare'): 15, ('atis_distance', 'atis_flight'): 10, ('atis_aircraft', 'atis_flight'): 8, ('atis_meal', 'atis_flight'): 6, ('atis_city', 'atis_flight'): 6, ('atis_ground_fare', 'atis_flight'): 6, ('atis_flight#atis_airfare', 'atis_flight'): 6, ('atis_flight', 'atis_quantity'): 4, ('atis_day_name', 'atis_flight'): 2, ('atis_airfare', 'atis_flight'): 2, ('atis_flight#atis_airfare', 'atis_airfare'): 2, ('atis_flight_time', 'atis_flight'): 1, ('atis_aircraft', 'atis_quantity'): 1, ('atis_airfare#atis_flight', 'atis_airfare'): 1, ('atis_ground_fare', 'atis_airfare'): 1, ('atis_flight#atis_airline', 'atis_flight'): 1, ('atis_flight_no#atis_airline', 'atis_flight_no'): 1, ('atis_flight', 'atis_flight#atis_airfare'): 1})",0,Counter(),0.7441156691324815,0.47118891320204226
1,0.8812125484666902,0.7973124300111982,0.7973124300111982,0.9231582657737046,ATIS,perturb_als_in_comparative_constructions,test,google/rembert,5498,50,dede.ATIS,"Counter({('atis_airline', 'atis_flight'): 38, ('atis_ground_service', 'atis_flight'): 36, ('atis_airport', 'atis_flight'): 18, ('atis_abbreviation', 'atis_flight'): 18, ('atis_abbreviation', 'atis_airfare'): 15, ('atis_distance', 'atis_flight'): 10, ('atis_aircraft', 'atis_flight'): 8, ('atis_meal', 'atis_flight'): 6, ('atis_city', 'atis_flight'): 6, ('atis_ground_fare', 'atis_flight'): 6, ('atis_flight#atis_airfare', 'atis_flight'): 6, ('atis_flight', 'atis_quantity'): 4, ('atis_day_name', 'atis_flight'): 2, ('atis_airfare', 'atis_flight'): 2, ('atis_flight#atis_airfare', 'atis_airfare'): 2, ('atis_flight_time', 'atis_flight'): 1, ('atis_aircraft', 'atis_quantity'): 1, ('atis_airfare#atis_flight', 'atis_airfare'): 1, ('atis_ground_fare', 'atis_airfare'): 1, ('atis_flight#atis_airline', 'atis_flight'): 1, ('atis_flight_no#atis_airline', 'atis_flight_no'): 1, ('atis_flight', 'atis_flight#atis_airfare'): 1})",0,Counter(),0.7441156691324815,0.47118891320204226
2,0.8510713031260978,0.793952967525196,0.7973124300111982,0.9231582657737046,ATIS,perturb_am_infinitive,test,google/rembert,5498,170,dede.ATIS,"Counter({('atis_airline', 'atis_flight'): 38, ('atis_ground_service', 'atis_flight'): 36, ('atis_airport', 'atis_flight'): 18, ('atis_abbreviation', 'atis_flight'): 18, ('atis_abbreviation', 'atis_airfare'): 15, ('atis_distance', 'atis_flight'): 10, ('atis_aircraft', 'atis_flight'): 8, ('atis_meal', 'atis_flight'): 6, ('atis_city', 'atis_flight'): 6, ('atis_ground_fare', 'atis_flight'): 6, ('atis_flight#atis_airfare', 'atis_flight'): 6, ('atis_flight', 'atis_quantity'): 4, ('atis_day_name', 'atis_flight'): 2, ('atis_airfare', 'atis_flight'): 2, ('atis_flight#atis_airfare', 'atis_airfare'): 2, ('atis_flight_time', 'atis_flight'): 1, ('atis_aircraft', 'atis_quantity'): 1, ('atis_airfare#atis_flight', 'atis_airfare'): 1, ('atis_ground_fare', 'atis_airfare'): 1, ('atis_flight#atis_airline', 'atis_flight'): 1, ('atis_flight_no#atis_airline', 'atis_flight_no'): 1, ('atis_flight', 'atis_flight#atis_airfare'): 1})",9,"Counter({('atis_airfare', 'atis_flight'): 7, ('atis_flight#atis_airfare', 'atis_airfare'): 1, ('atis_flight', 'atis_airfare'): 1})",0.7441156691324815,0.47118891320204226
3,0.8812125484666902,0.7973124300111982,0.7973124300111982,0.9231582657737046,ATIS,perturb_article_before_personal_name,test,google/rembert,5498,48,dede.ATIS,"Counter({('atis_airline', 'atis_flight'): 38, ('atis_ground_service', 'atis_flight'): 36, ('atis_airport', 'atis_flight'): 18, ('atis_abbreviation', 'atis_flight'): 18, ('atis_abbreviation', 'atis_airfare'): 15, ('atis_distance', 'atis_flight'): 10, ('atis_aircraft', 'atis_flight'): 8, ('atis_meal', 'atis_flight'): 6, ('atis_city', 'atis_flight'): 6, ('atis_ground_fare', 'atis_flight'): 6, ('atis_flight#atis_airfare', 'atis_flight'): 6, ('atis_flight', 'atis_quantity'): 4, ('atis_day_name', 'atis_flight'): 2, ('atis_airfare', 'atis_flight'): 2, ('atis_flight#atis_airfare', 'atis_airfare'): 2, ('atis_flight_time', 'atis_flight'): 1, ('atis_aircraft', 'atis_quantity'): 1, ('atis_airfare#atis_flight', 'atis_airfare'): 1, ('atis_ground_fare', 'atis_airfare'): 1, ('atis_flight#atis_airline', 'atis_flight'): 1, ('atis_flight_no#atis_airline', 'atis_flight_no'): 1, ('atis_flight', 'atis_flight#atis_airfare'): 1})",0,Counter(),0.7441156691324815,0.47118891320204226
4,0.8554811420514629,0.7973124300111982,0.7973124300111982,0.9231582657737046,ATIS,perturb_contracted_verb_and_pronoun,test,google/rembert,5498,81,dede.ATIS,"Counter({('atis_airline', 'atis_flight'): 38, ('atis_ground_service', 'atis_flight'): 36, ('atis_airport', 'atis_flight'): 18, ('atis_abbreviation', 'atis_flight'): 18, ('atis_abbreviation', 'atis_airfare'): 15, ('atis_distance', 'atis_flight'): 10, ('atis_aircraft', 'atis_flight'): 8, ('atis_meal', 'atis_flight'): 6, ('atis_city', 'atis_flight'): 6, ('atis_ground_fare', 'atis_flight'): 6, ('atis_flight#atis_airfare', 'atis_flight'): 6, ('atis_flight', 'atis_quantity'): 4, ('atis_day_name', 'atis_flight'): 2, ('atis_airfare', 'atis_flight'): 2, ('atis_flight#atis_airfare', 'atis_airfare'): 2, ('atis_flight_time', 'atis_flight'): 1, ('atis_aircraft', 'atis_quantity'): 1, ('atis_airfare#atis_flight', 'atis_airfare'): 1, ('atis_ground_fare', 'atis_airfare'): 1, ('atis_flight#atis_airline', 'atis_flight'): 1, ('atis_flight_no#atis_airline', 'atis_flight_no'): 1, ('atis_flight', 'atis_flight#atis_airfare'): 1})",0,Counter(),0.7441156691324815,0.47118891320204226
5,0.8812125484666902,0.7973124300111982,0.7973124300111982,0.9231582657737046,ATIS,perturb_da,test,google/rembert,5498,48,dede.ATIS,"Counter({('atis_airline', 'atis_flight'): 38, ('atis_ground_service', 'atis_flight'): 36, ('atis_airport', 'atis_flight'): 18, ('atis_abbreviation', 'atis_flight'): 18, ('atis_abbreviation', 'atis_airfare'): 15, ('atis_distance', 'atis_flight'): 10, ('atis_aircraft', 'atis_flight'): 8, ('atis_meal', 'atis_flight'): 6, ('atis_city', 'atis_flight'): 6, ('atis_ground_fare', 'atis_flight'): 6, ('atis_flight#atis_airfare', 'atis_flight'): 6, ('atis_flight', 'atis_quantity'): 4, ('atis_day_name', 'atis_flight'): 2, ('atis_airfare', 'atis_flight'): 2, ('atis_flight#atis_airfare', 'atis_airfare'): 2, ('atis_flight_time', 'atis_flight'): 1, ('atis_aircraft', 'atis_quantity'): 1, ('atis_airfare#atis_flight', 'atis_airfare'): 1, ('atis_ground_fare', 'atis_airfare'): 1, ('atis_flight#atis_airline', 'atis_flight'): 1, ('atis_flight_no#atis_airline', 'atis_flight_no'): 1, ('atis_flight', 'atis_flight#atis_airfare'): 1})",0,Counter(),0.7441156691324815,0.47118891320204226
6,0.8794501233697567,0.7973124300111982,0.7973124300111982,0.9231582657737046,ATIS,perturb_denn_in_questions,test,google/rembert,5498,49,dede.ATIS,"Counter({('atis_airline', 'atis_flight'): 38, ('atis_ground_service', 'atis_flight'): 36, ('atis_airport', 'atis_flight'): 18, ('atis_abbreviation', 'atis_flight'): 18, ('atis_abbreviation', 'atis_airfare'): 15, ('atis_distance', 'atis_flight'): 10, ('atis_aircraft', 'atis_flight'): 8, ('atis_meal', 'atis_flight'): 6, ('atis_city', 'atis_flight'): 6, ('atis_ground_fare', 'atis_flight'): 6, ('atis_flight#atis_airfare', 'atis_flight'): 6, ('atis_flight', 'atis_quantity'): 4, ('atis_day_name', 'atis_flight'): 2, ('atis_airfare', 'atis_flight'): 2, ('atis_flight#atis_airfare', 'atis_airfare'): 2, ('atis_flight_time', 'atis_flight'): 1, ('atis_aircraft', 'atis_quantity'): 1, ('atis_airfare#atis_flight', 'atis_airfare'): 1, ('atis_ground_fare', 'atis_airfare'): 1, ('atis_flight#atis_airline', 'atis_flight'): 1, ('atis_flight_no#atis_airline', 'atis_flight_no'): 1, ('atis_flight', 'atis_flight#atis_airfare'): 1})",0,Counter(),0.7441156691324815,0.47118891320204226
7,0.8812125484666902,0.7973124300111982,0.7973124300111982,0.9231582657737046,ATIS,perturb_double_article,test,google/rembert,5498,48,dede.ATIS,"Counter({('atis_airline', 'atis_flight'): 38, ('atis_ground_service', 'atis_flight'): 36, ('atis_airport', 'atis_flight'): 18, ('atis_abbreviation', 'atis_flight'): 18, ('atis_abbreviation', 'atis_airfare'): 15, ('atis_distance', 'atis_flight'): 10, ('atis_aircraft', 'atis_flight'): 8, ('atis_meal', 'atis_flight'): 6, ('atis_city', 'atis_flight'): 6, ('atis_ground_fare', 'atis_flight'): 6, ('atis_flight#atis_airfare', 'atis_flight'): 6, ('atis_flight', 'atis_quantity'): 4, ('atis_day_name', 'atis_flight'): 2, ('atis_airfare', 'atis_flight'): 2, ('atis_flight#atis_airfare', 'atis_airfare'): 2, ('atis_flight_time', 'atis_flight'): 1, ('atis_aircraft', 'atis_quantity'): 1, ('atis_airfare#atis_flight', 'atis_airfare'): 1, ('atis_ground_fare', 'atis_airfare'): 1, ('atis_flight#atis_airline', 'atis_flight'): 1, ('atis_flight_no#atis_airline', 'atis_flight_no'): 1, ('atis_flight', 'atis_flight#atis_airfare'): 1})",0,Counter(),0.7441156691324815,0.47118891320204226
8,0.8812125484666902,0.7973124300111982,0.7973124300111982,0.9231582657737046,ATIS,perturb_existential_clause,test,google/rembert,5498,48,dede.ATIS,"Counter({('atis_airline', 'atis_flight'): 38, ('atis_ground_service', 'atis_flight'): 36, ('atis_airport', 'atis_flight'): 18, ('atis_abbreviation', 'atis_flight'): 18, ('atis_abbreviation', 'atis_airfare'): 15, ('atis_distance', 'atis_flight'): 10, ('atis_aircraft', 'atis_flight'): 8, ('atis_meal', 'atis_flight'): 6, ('atis_city', 'atis_flight'): 6, ('atis_ground_fare', 'atis_flight'): 6, ('atis_flight#atis_airfare', 'atis_flight'): 6, ('atis_flight', 'atis_quantity'): 4, ('atis_day_name', 'atis_flight'): 2, ('atis_airfare', 'atis_flight'): 2, ('atis_flight#atis_airfare', 'atis_airfare'): 2, ('atis_flight_time', 'atis_flight'): 1, ('atis_aircraft', 'atis_quantity'): 1, ('atis_airfare#atis_flight', 'atis_airfare'): 1, ('atis_ground_fare', 'atis_airfare'): 1, ('atis_flight#atis_airline', 'atis_flight'): 1, ('atis_flight_no#atis_airline', 'atis_flight_no'): 1, ('atis_flight', 'atis_flight#atis_airfare'): 1})",0,Counter(),0.7441156691324815,0.47118891320204226
9,0.8812125484666902,0.7973124300111982,0.7973124300111982,0.9231582657737046,ATIS,perturb_genitive_to_dativ,test,google/rembert,5498,49,dede.ATIS,"Counter({('atis_airline', 'atis_flight'): 38, ('atis_ground_service', 'atis_flight'): 36, ('atis_airport', 'atis_flight'): 18, ('atis_abbreviation', 'atis_flight'): 18, ('atis_abbreviation', 'atis_airfare'): 15, ('atis_distance', 'atis_flight'): 10, ('atis_aircraft', 'atis_flight'): 8, ('atis_meal', 'atis_flight'): 6, ('atis_city', 'atis_flight'): 6, ('atis_ground_fare', 'atis_flight'): 6, ('atis_flight#atis_airfare', 'atis_flight'): 6, ('atis_flight', 'atis_quantity'): 4, ('atis_day_name', 'atis_flight'): 2, ('atis_airfare', 'atis_flight'): 2, ('atis_flight#atis_airfare', 'atis_airfare'): 2, ('atis_flight_time', 'atis_flight'): 1, ('atis_aircraft', 'atis_quantity'): 1, ('atis_airfare#atis_flight', 'atis_airfare'): 1, ('atis_ground_fare', 'atis_airfare'): 1, ('atis_flight#atis_airline', 'atis_flight'): 1, ('atis_flight_no#atis_airline', 'atis_flight_no'): 1, ('atis_flight', 'atis_flight#atis_airfare'): 1})",0,Counter(),0.7441156691324815,0.47118891320204226
