,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,transformer_model
0,0.8,0.730416,0.681896,0.734,bert-base-multilingual-cased
1,0.952,0.847316,0.794717,0.898,google/rembert
2,0.78,0.70943,0.655738,0.718,bert-base-multilingual-cased
3,0.924,0.77152,0.718436,0.896,xlm-roberta-base
4,0.96,0.817691,0.782363,0.918,microsoft/mdeberta-v3-base
5,0.968,0.837507,0.806003,0.954,microsoft/mdeberta-v3-base
6,0.91,0.813815,0.767139,0.872,xlm-roberta-base
7,0.762,0.662753,0.611805,0.708,distilbert-base-multilingual-cased
8,0.76,0.677642,0.620885,0.704,distilbert-base-multilingual-cased
9,0.722,0.720379,0.663032,0.698,microsoft/Multilingual-MiniLM-L12-H384
10,0.758,0.664948,0.603315,0.702,distilbert-base-multilingual-cased
11,0.726,0.681152,0.633843,0.678,microsoft/Multilingual-MiniLM-L12-H384
12,0.978,0.821053,0.786704,0.936,microsoft/mdeberta-v3-base
13,0.77,0.637214,0.590055,0.694,distilbert-base-multilingual-cased
14,0.938,0.822176,0.782704,0.868,google/rembert
15,0.744,0.673831,0.613181,0.674,distilbert-base-multilingual-cased
16,0.974,0.846933,0.804031,0.94,microsoft/mdeberta-v3-base
17,0.728,0.693489,0.638889,0.724,microsoft/Multilingual-MiniLM-L12-H384
18,0.77,0.725673,0.664474,0.724,bert-base-multilingual-cased
19,0.928,0.775658,0.73913,0.878,xlm-roberta-base
20,0.974,0.811861,0.784043,0.952,google/rembert
21,0.948,0.830309,0.784314,0.884,google/rembert
22,0.89,0.761502,0.719777,0.868,xlm-roberta-base
23,0.732,0.720759,0.665565,0.702,microsoft/Multilingual-MiniLM-L12-H384
24,0.902,0.787212,0.731573,0.868,xlm-roberta-base
25,0.932,0.844327,0.802422,0.882,google/rembert
26,0.78,0.72093,0.677852,0.732,bert-base-multilingual-cased
27,0.806,0.703934,0.654247,0.722,bert-base-multilingual-cased
28,0.964,0.83106,0.802192,0.932,microsoft/mdeberta-v3-base
29,0.708,0.709539,0.667409,0.672,microsoft/Multilingual-MiniLM-L12-H384
