,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,transformer_model
0,0.563551,0.496124,0.415119,0.512441,bert-base-multilingual-cased
1,0.848016,0.739677,0.669897,0.78312,microsoft/mdeberta-v3-base
2,0.833894,0.740915,0.67594,0.773369,microsoft/mdeberta-v3-base
3,0.44082,0.42433,0.352889,0.402152,distilbert-base-multilingual-cased
4,0.538332,0.507064,0.429315,0.474109,bert-base-multilingual-cased
5,0.834566,0.73952,0.668775,0.772024,microsoft/mdeberta-v3-base
6,0.444183,0.436056,0.365105,0.39879,distilbert-base-multilingual-cased
7,0.837592,0.735101,0.677253,0.777068,google/rembert
8,0.565905,0.555556,0.479915,0.515804,microsoft/Multilingual-MiniLM-L12-H384
9,0.840619,0.727501,0.665891,0.781103,google/rembert
10,0.54035,0.499376,0.412677,0.479489,bert-base-multilingual-cased
11,0.572293,0.544494,0.473518,0.520511,microsoft/Multilingual-MiniLM-L12-H384
12,0.466375,0.41314,0.339364,0.419973,distilbert-base-multilingual-cased
13,0.577673,0.553208,0.481963,0.525891,microsoft/Multilingual-MiniLM-L12-H384
14,0.838937,0.738944,0.672944,0.777404,microsoft/mdeberta-v3-base
15,0.453262,0.431768,0.363874,0.406523,distilbert-base-multilingual-cased
16,0.838937,0.737805,0.669622,0.779758,google/rembert
17,0.602219,0.538892,0.462511,0.548083,microsoft/Multilingual-MiniLM-L12-H384
18,0.471755,0.431841,0.351434,0.428043,distilbert-base-multilingual-cased
19,0.554472,0.484394,0.402212,0.495293,bert-base-multilingual-cased
20,0.835239,0.724987,0.655838,0.76698,google/rembert
21,0.748823,0.650652,0.571601,0.674176,xlm-roberta-base
22,0.761601,0.662399,0.585356,0.69536,xlm-roberta-base
23,0.840282,0.733981,0.669246,0.77505,microsoft/mdeberta-v3-base
24,0.752858,0.66508,0.583664,0.69267,xlm-roberta-base
25,0.588769,0.536463,0.46141,0.52959,microsoft/Multilingual-MiniLM-L12-H384
26,0.731675,0.645938,0.561636,0.672159,xlm-roberta-base
27,0.534633,0.475767,0.395542,0.482851,bert-base-multilingual-cased
28,0.840619,0.741036,0.673705,0.773369,google/rembert
29,0.747814,0.66342,0.588307,0.673167,xlm-roberta-base
