,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,transformer_model
0,0.708,0.664948,0.598783,0.646,distilbert-base-multilingual-cased
1,0.748,0.662821,0.620804,0.686,distilbert-base-multilingual-cased
2,0.926,0.806854,0.750408,0.852,google/rembert
3,0.704,0.678979,0.620889,0.658,distilbert-base-multilingual-cased
4,0.912,0.781646,0.745163,0.88,xlm-roberta-base
5,0.914,0.805277,0.753863,0.88,google/rembert
6,0.704,0.667707,0.614965,0.662,distilbert-base-multilingual-cased
7,0.732,0.68984,0.658455,0.704,microsoft/Multilingual-MiniLM-L12-H384
8,0.94,0.831031,0.786667,0.896,microsoft/mdeberta-v3-base
9,0.894,0.770789,0.725263,0.836,google/rembert
10,0.924,0.81399,0.775872,0.894,microsoft/mdeberta-v3-base
11,0.892,0.769231,0.717127,0.844,xlm-roberta-base
12,0.948,0.816931,0.782464,0.922,microsoft/mdeberta-v3-base
13,0.776,0.669919,0.614245,0.716,bert-base-multilingual-cased
14,0.728,0.697872,0.66113,0.678,microsoft/Multilingual-MiniLM-L12-H384
15,0.742,0.689211,0.634119,0.712,microsoft/Multilingual-MiniLM-L12-H384
16,0.93,0.777956,0.738566,0.902,google/rembert
17,0.97,0.846639,0.811816,0.954,microsoft/mdeberta-v3-base
18,0.754,0.70357,0.651316,0.696,bert-base-multilingual-cased
19,0.89,0.743915,0.684825,0.846,xlm-roberta-base
20,0.89,0.810953,0.760532,0.876,google/rembert
21,0.764,0.73423,0.671789,0.71,bert-base-multilingual-cased
22,0.688,0.65667,0.596376,0.656,distilbert-base-multilingual-cased
23,0.886,0.762703,0.718853,0.852,xlm-roberta-base
24,0.962,0.822538,0.78895,0.922,microsoft/mdeberta-v3-base
25,0.758,0.708678,0.644773,0.716,bert-base-multilingual-cased
26,0.766,0.712314,0.667781,0.7,bert-base-multilingual-cased
27,0.93,0.754237,0.709071,0.884,xlm-roberta-base
28,0.686,0.689984,0.625903,0.644,microsoft/Multilingual-MiniLM-L12-H384
29,0.72,0.697724,0.634903,0.692,microsoft/Multilingual-MiniLM-L12-H384
