,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,transformer_model
0,0.234364,0.261795,0.265655,0.208473,facebook/mbart-large-cc25
1,0.208473,0.117914,0.265655,0.208473,facebook/mbart-large-cc25
2,0.235373,0.260226,0.265655,0.208473,facebook/mbart-large-cc25
3,0.234701,0.260749,0.265655,0.208473,facebook/mbart-large-cc25
4,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
5,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
6,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
7,0.230666,0.121739,0.265655,0.208473,facebook/mbart-large-cc25
8,0.234701,0.241164,0.265655,0.208473,facebook/mbart-large-cc25
9,0.235037,0.258035,0.265655,0.208473,facebook/mbart-large-cc25
10,0.234364,0.258378,0.265655,0.208473,facebook/mbart-large-cc25
11,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
12,0.235373,0.261795,0.265655,0.208473,facebook/mbart-large-cc25
13,0.235037,0.262538,0.265655,0.208473,facebook/mbart-large-cc25
14,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
15,0.234028,0.26097,0.265655,0.208473,facebook/mbart-large-cc25
16,0.234701,0.260287,0.265655,0.208473,facebook/mbart-large-cc25
17,0.234701,0.261795,0.265655,0.208473,facebook/mbart-large-cc25
18,0.235037,0.259944,0.265655,0.208473,facebook/mbart-large-cc25
19,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
20,0.236382,0.26676,0.265655,0.208473,facebook/mbart-large-cc25
21,0.235037,0.261954,0.265655,0.208473,facebook/mbart-large-cc25
22,0.234028,0.261393,0.265655,0.208473,facebook/mbart-large-cc25
23,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
24,0.217216,0.264065,0.265655,0.208473,facebook/mbart-large-cc25
25,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
26,0.235037,0.261332,0.265655,0.208473,facebook/mbart-large-cc25
27,0.233692,0.261635,0.265655,0.208473,facebook/mbart-large-cc25
28,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
29,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
30,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
31,0.235373,0.262075,0.265655,0.208473,facebook/mbart-large-cc25
32,0.234701,0.259302,0.265655,0.208473,facebook/mbart-large-cc25
33,0.235373,0.262295,0.265655,0.208473,facebook/mbart-large-cc25
34,0.215535,0.25299,0.265655,0.208473,facebook/mbart-large-cc25
35,0.232011,0.234994,0.265655,0.208473,facebook/mbart-large-cc25
36,0.234701,0.261674,0.265655,0.208473,facebook/mbart-large-cc25
37,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
38,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
39,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
40,0.235037,0.261674,0.265655,0.208473,facebook/mbart-large-cc25
41,0.235373,0.257856,0.265655,0.208473,facebook/mbart-large-cc25
42,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
43,0.235709,0.259362,0.265655,0.208473,facebook/mbart-large-cc25
44,0.236718,0.244737,0.265655,0.208473,facebook/mbart-large-cc25
45,0.235037,0.261553,0.265655,0.208473,facebook/mbart-large-cc25
46,0.232011,0.234461,0.265655,0.208473,facebook/mbart-large-cc25
47,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
48,0.234701,0.261211,0.265655,0.208473,facebook/mbart-large-cc25
49,0.234701,0.260166,0.265655,0.208473,facebook/mbart-large-cc25
50,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
51,0.235037,0.262197,0.265655,0.208473,facebook/mbart-large-cc25
52,0.235037,0.256694,0.265655,0.208473,facebook/mbart-large-cc25
53,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
54,0.234364,0.262235,0.265655,0.208473,facebook/mbart-large-cc25
55,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
56,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
57,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
58,0.234364,0.255841,0.265655,0.208473,facebook/mbart-large-cc25
59,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
60,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
61,0.235373,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
62,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
63,0.234028,0.227462,0.265655,0.208473,facebook/mbart-large-cc25
64,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
65,0.233692,0.145239,0.265655,0.208473,facebook/mbart-large-cc25
66,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
67,0.235037,0.261795,0.265655,0.208473,facebook/mbart-large-cc25
68,0.234701,0.261674,0.265655,0.208473,facebook/mbart-large-cc25
69,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
70,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
71,0.233692,0.257725,0.265655,0.208473,facebook/mbart-large-cc25
72,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
73,0.232683,0.263487,0.265655,0.208473,facebook/mbart-large-cc25
74,0.235373,0.26093,0.265655,0.208473,facebook/mbart-large-cc25
75,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
76,0.235709,0.249827,0.265655,0.208473,facebook/mbart-large-cc25
77,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
78,0.235037,0.236897,0.265655,0.208473,facebook/mbart-large-cc25
79,0.235037,0.259362,0.265655,0.208473,facebook/mbart-large-cc25
80,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
81,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
82,0.234028,0.259115,0.265655,0.208473,facebook/mbart-large-cc25
83,0.235037,0.260809,0.265655,0.208473,facebook/mbart-large-cc25
84,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
85,0.235373,0.257796,0.265655,0.208473,facebook/mbart-large-cc25
86,0.235037,0.255723,0.265655,0.208473,facebook/mbart-large-cc25
87,0.235037,0.262439,0.265655,0.208473,facebook/mbart-large-cc25
88,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
89,0.235037,0.261773,0.265655,0.208473,facebook/mbart-large-cc25
90,0.234364,0.261492,0.265655,0.208473,facebook/mbart-large-cc25
91,0.236046,0.261272,0.265655,0.208473,facebook/mbart-large-cc25
92,0.236718,0.265155,0.265655,0.208473,facebook/mbart-large-cc25
93,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
94,0.247142,0.327155,0.265655,0.208473,facebook/mbart-large-cc25
95,0.238063,0.230076,0.265655,0.208473,facebook/mbart-large-cc25
96,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
97,0.233692,0.25896,0.265655,0.208473,facebook/mbart-large-cc25
98,0.234028,0.254857,0.265655,0.208473,facebook/mbart-large-cc25
99,0.208473,0.117914,0.265655,0.208473,facebook/mbart-large-cc25
100,0.237054,0.237651,0.265655,0.208473,facebook/mbart-large-cc25
101,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
102,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
103,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
104,0.235037,0.260287,0.265655,0.208473,facebook/mbart-large-cc25
105,0.235373,0.260809,0.265655,0.208473,facebook/mbart-large-cc25
106,0.234028,0.261474,0.265655,0.208473,facebook/mbart-large-cc25
107,0.234364,0.262257,0.265655,0.208473,facebook/mbart-large-cc25
108,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
109,0.230666,0.235321,0.265655,0.208473,facebook/mbart-large-cc25
110,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
111,0.234701,0.261734,0.265655,0.208473,facebook/mbart-large-cc25
112,0.235037,0.261954,0.265655,0.208473,facebook/mbart-large-cc25
113,0.234028,0.253932,0.265655,0.208473,facebook/mbart-large-cc25
114,0.234364,0.257751,0.265655,0.208473,facebook/mbart-large-cc25
115,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
116,0.234701,0.261674,0.265655,0.208473,facebook/mbart-large-cc25
117,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
118,0.234701,0.256303,0.265655,0.208473,facebook/mbart-large-cc25
119,0.235037,0.262136,0.265655,0.208473,facebook/mbart-large-cc25
120,0.235037,0.262538,0.265655,0.208473,facebook/mbart-large-cc25
121,0.877942,0.687319,0.726532,0.835575,bert-base-multilingual-cased
122,0.835575,0.323082,0.726532,0.835575,bert-base-multilingual-cased
123,0.878615,0.685802,0.726532,0.835575,bert-base-multilingual-cased
124,0.877942,0.68335,0.726532,0.835575,bert-base-multilingual-cased
125,0.878951,0.689585,0.726532,0.835575,bert-base-multilingual-cased
126,0.878951,0.689467,0.726532,0.835575,bert-base-multilingual-cased
127,0.878951,0.689585,0.726532,0.835575,bert-base-multilingual-cased
128,0.855077,0.291262,0.726532,0.835575,bert-base-multilingual-cased
129,0.870881,0.650094,0.726532,0.835575,bert-base-multilingual-cased
130,0.878951,0.679149,0.726532,0.835575,bert-base-multilingual-cased
131,0.877942,0.680286,0.726532,0.835575,bert-base-multilingual-cased
132,0.878951,0.689585,0.726532,0.835575,bert-base-multilingual-cased
133,0.878951,0.688223,0.726532,0.835575,bert-base-multilingual-cased
134,0.878951,0.690606,0.726532,0.835575,bert-base-multilingual-cased
135,0.878951,0.689585,0.726532,0.835575,bert-base-multilingual-cased
136,0.878951,0.688552,0.726532,0.835575,bert-base-multilingual-cased
137,0.878615,0.686181,0.726532,0.835575,bert-base-multilingual-cased
138,0.877942,0.687543,0.726532,0.835575,bert-base-multilingual-cased
139,0.877606,0.689596,0.726532,0.835575,bert-base-multilingual-cased
140,0.878951,0.689585,0.726532,0.835575,bert-base-multilingual-cased
141,0.875925,0.698213,0.726532,0.835575,bert-base-multilingual-cased
142,0.878951,0.689244,0.726532,0.835575,bert-base-multilingual-cased
143,0.877942,0.689116,0.726532,0.835575,bert-base-multilingual-cased
144,0.878951,0.689585,0.726532,0.835575,bert-base-multilingual-cased
145,0.868527,0.68895,0.726532,0.835575,bert-base-multilingual-cased
146,0.878951,0.689585,0.726532,0.835575,bert-base-multilingual-cased
147,0.878951,0.685393,0.726532,0.835575,bert-base-multilingual-cased
148,0.878615,0.689233,0.726532,0.835575,bert-base-multilingual-cased
149,0.878951,0.689585,0.726532,0.835575,bert-base-multilingual-cased
150,0.878951,0.689467,0.726532,0.835575,bert-base-multilingual-cased
151,0.878951,0.689585,0.726532,0.835575,bert-base-multilingual-cased
152,0.878951,0.689585,0.726532,0.835575,bert-base-multilingual-cased
153,0.878615,0.684829,0.726532,0.835575,bert-base-multilingual-cased
154,0.878278,0.688681,0.726532,0.835575,bert-base-multilingual-cased
155,0.878615,0.686035,0.726532,0.835575,bert-base-multilingual-cased
156,0.87458,0.632153,0.726532,0.835575,bert-base-multilingual-cased
157,0.878615,0.688564,0.726532,0.835575,bert-base-multilingual-cased
158,0.878951,0.689585,0.726532,0.835575,bert-base-multilingual-cased
159,0.878951,0.689585,0.726532,0.835575,bert-base-multilingual-cased
