,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,transformer_model
0,0.868527,0.795561,0.7331717322394182,0.82044384667115,microsoft/mdeberta-v3-base
1,0.873907,0.800347,0.7401486988847583,0.8184263618022865,microsoft/mdeberta-v3-base
2,0.847007,0.779094,0.7110609480812641,0.7915265635507733,bert-base-multilingual-cased
3,0.873571,0.800486,0.7384099795196426,0.8170813718897109,google/rembert
4,0.874916,0.798259,0.7365269461077845,0.8271687962340283,google/rembert
5,0.868863,0.785368,0.72299944040291,0.8117014122394082,xlm-roberta-base
6,0.849361,0.774974,0.7086761406133135,0.796906523201076,bert-base-multilingual-cased
7,0.836584,0.766829,0.6983355152421918,0.7854741089441829,distilbert-base-multilingual-cased
8,0.800605,0.764146,0.7003529630317668,0.7474781439139206,microsoft/Multilingual-MiniLM-L12-H384
9,0.798588,0.76169,0.6982116244411326,0.7545393409549428,microsoft/Multilingual-MiniLM-L12-H384
10,0.873571,0.79779,0.7349665924276169,0.8140551445864156,microsoft/mdeberta-v3-base
11,0.79926,0.770783,0.7008066028887638,0.7451244115669132,microsoft/Multilingual-MiniLM-L12-H384
12,0.83154,0.762998,0.6979186199137446,0.7777404169468729,distilbert-base-multilingual-cased
13,0.850034,0.76883,0.7035647279549718,0.7885003362474782,bert-base-multilingual-cased
14,0.849361,0.776814,0.7070063694267515,0.7952252858103565,bert-base-multilingual-cased
15,0.870545,0.79056,0.7268673355629879,0.8127101546738399,microsoft/mdeberta-v3-base
16,0.872898,0.79674,0.7360955580440462,0.8187626092804304,microsoft/mdeberta-v3-base
17,0.806994,0.76375,0.6995348837209303,0.7558843308675185,microsoft/Multilingual-MiniLM-L12-H384
18,0.83423,0.767434,0.6995092487731218,0.7800941492938803,distilbert-base-multilingual-cased
19,0.843981,0.76915,0.7055283941331328,0.7817753866845999,bert-base-multilingual-cased
20,0.864492,0.801261,0.7336721249764728,0.8120376597175522,google/rembert
21,0.862475,0.790569,0.723848592205855,0.8096839273705447,xlm-roberta-base
22,0.830868,0.767348,0.697261567516525,0.7747141896435776,distilbert-base-multilingual-cased
23,0.864829,0.791053,0.7259176448667785,0.812373907195696,xlm-roberta-base
24,0.798924,0.76105,0.696362286562732,0.7441156691324815,microsoft/Multilingual-MiniLM-L12-H384
25,0.872898,0.800209,0.7399925177702954,0.8227975790181573,google/rembert
26,0.865501,0.786771,0.7249906331959536,0.8140551445864156,xlm-roberta-base
27,0.829523,0.765163,0.6938092582264362,0.7726967047747142,distilbert-base-multilingual-cased
28,0.874916,0.787554,0.7179962894248607,0.8170813718897109,xlm-roberta-base
29,0.874916,0.80223,0.7344102178812922,0.8177538668459986,google/rembert
