,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,transformer_model
0,0.838937,0.737805,0.669622,0.779758,google/rembert
1,0.837592,0.735101,0.677253,0.777068,google/rembert
2,0.54842,0.509874,0.430108,0.485878,bert-base-multilingual-cased
3,0.747814,0.66342,0.588307,0.673167,xlm-roberta-base
4,0.737054,0.644129,0.559249,0.677539,xlm-roberta-base
5,0.840619,0.727501,0.665891,0.781103,google/rembert
6,0.761601,0.662399,0.585356,0.69536,xlm-roberta-base
7,0.840282,0.733981,0.669246,0.77505,microsoft/mdeberta-v3-base
8,0.456624,0.425654,0.358765,0.417956,distilbert-base-multilingual-cased
9,0.588433,0.551978,0.473863,0.529926,microsoft/Multilingual-MiniLM-L12-H384
10,0.588769,0.536463,0.46141,0.52959,microsoft/Multilingual-MiniLM-L12-H384
11,0.482179,0.443482,0.368901,0.437122,distilbert-base-multilingual-cased
12,0.555145,0.527007,0.449493,0.499664,bert-base-multilingual-cased
13,0.757229,0.647456,0.568356,0.682246,xlm-roberta-base
14,0.835239,0.724987,0.655838,0.76698,google/rembert
15,0.572293,0.544494,0.473518,0.520511,microsoft/Multilingual-MiniLM-L12-H384
16,0.464022,0.424092,0.346683,0.420646,distilbert-base-multilingual-cased
17,0.838937,0.739084,0.679173,0.778077,google/rembert
18,0.8423,0.742111,0.674236,0.775723,microsoft/mdeberta-v3-base
19,0.562878,0.498163,0.413039,0.5,bert-base-multilingual-cased
20,0.751177,0.65993,0.580697,0.689307,xlm-roberta-base
21,0.462677,0.421822,0.347054,0.421654,distilbert-base-multilingual-cased
22,0.573638,0.549073,0.469264,0.530935,microsoft/Multilingual-MiniLM-L12-H384
23,0.834902,0.737272,0.668451,0.774042,microsoft/mdeberta-v3-base
24,0.83961,0.736266,0.672879,0.774714,microsoft/mdeberta-v3-base
25,0.494284,0.418903,0.340977,0.443174,distilbert-base-multilingual-cased
26,0.845326,0.741878,0.677562,0.781439,microsoft/mdeberta-v3-base
27,0.572293,0.553917,0.477785,0.528917,microsoft/Multilingual-MiniLM-L12-H384
28,0.562542,0.512839,0.443359,0.51345,bert-base-multilingual-cased
29,0.553463,0.472664,0.4,0.495293,bert-base-multilingual-cased
