,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,perturbation,transformer_model
0,0.74804,0.565863,0.5486,0.74804,perturb_2_verb_clusters,distilbert-base-multilingual-cased
1,0.74804,0.565863,0.548419,0.74804,perturb_als_in_comparative_constructions,distilbert-base-multilingual-cased
2,0.74804,0.565863,0.527051,0.74804,perturb_am_infinitive,distilbert-base-multilingual-cased
3,0.74804,0.565863,0.5486,0.74804,perturb_article_before_personal_name,distilbert-base-multilingual-cased
4,0.74804,0.565863,0.531245,0.74804,perturb_contracted_verb_and_pronoun,distilbert-base-multilingual-cased
5,0.74804,0.565863,0.5486,0.74804,perturb_da,distilbert-base-multilingual-cased
6,0.74804,0.565863,0.547282,0.74804,perturb_denn_in_questions,distilbert-base-multilingual-cased
7,0.74804,0.565863,0.5486,0.74804,perturb_double_article,distilbert-base-multilingual-cased
8,0.74804,0.565863,0.5486,0.74804,perturb_existential_clause,distilbert-base-multilingual-cased
9,0.74804,0.565863,0.5486,0.74804,perturb_genitive_to_dativ,distilbert-base-multilingual-cased
10,0.74804,0.565863,0.547514,0.74804,perturb_in,distilbert-base-multilingual-cased
11,0.74804,0.565863,0.516323,0.74692,perturb_nach,distilbert-base-multilingual-cased
12,0.74804,0.565863,0.5486,0.74804,perturb_negative_concord,distilbert-base-multilingual-cased
13,0.74804,0.565863,0.5486,0.74804,perturb_possesive_genitive,distilbert-base-multilingual-cased
14,0.74804,0.565863,0.547999,0.74804,perturb_relative_pronoun,distilbert-base-multilingual-cased
15,0.74804,0.565863,0.547104,0.75028,perturb_schwa_elision_in_verbs,distilbert-base-multilingual-cased
16,0.74804,0.565863,0.5486,0.74804,perturb_swap_name,distilbert-base-multilingual-cased
17,0.74804,0.565863,0.497612,0.741321,perturb_tun_imperativ,distilbert-base-multilingual-cased
18,0.778275,0.640725,0.620828,0.778275,perturb_2_verb_clusters,bert-base-multilingual-cased
19,0.778275,0.640725,0.620828,0.778275,perturb_als_in_comparative_constructions,bert-base-multilingual-cased
20,0.778275,0.640725,0.600268,0.776036,perturb_am_infinitive,bert-base-multilingual-cased
21,0.778275,0.640725,0.620828,0.778275,perturb_article_before_personal_name,bert-base-multilingual-cased
22,0.778275,0.640725,0.599899,0.778275,perturb_contracted_verb_and_pronoun,bert-base-multilingual-cased
23,0.778275,0.640725,0.620828,0.778275,perturb_da,bert-base-multilingual-cased
24,0.778275,0.640725,0.619151,0.778275,perturb_denn_in_questions,bert-base-multilingual-cased
25,0.778275,0.640725,0.620828,0.778275,perturb_double_article,bert-base-multilingual-cased
26,0.778275,0.640725,0.620828,0.778275,perturb_existential_clause,bert-base-multilingual-cased
27,0.778275,0.640725,0.620828,0.778275,perturb_genitive_to_dativ,bert-base-multilingual-cased
28,0.778275,0.640725,0.619751,0.777156,perturb_in,bert-base-multilingual-cased
29,0.778275,0.640725,0.615746,0.777156,perturb_nach,bert-base-multilingual-cased
30,0.778275,0.640725,0.620828,0.778275,perturb_negative_concord,bert-base-multilingual-cased
31,0.778275,0.640725,0.620828,0.778275,perturb_possesive_genitive,bert-base-multilingual-cased
32,0.778275,0.640725,0.620933,0.778275,perturb_relative_pronoun,bert-base-multilingual-cased
33,0.778275,0.640725,0.61884,0.777156,perturb_schwa_elision_in_verbs,bert-base-multilingual-cased
34,0.778275,0.640725,0.620828,0.778275,perturb_swap_name,bert-base-multilingual-cased
35,0.778275,0.640725,0.563253,0.772676,perturb_tun_imperativ,bert-base-multilingual-cased
36,0.788354,0.79734,0.765838,0.788354,perturb_2_verb_clusters,xlm-roberta-base
37,0.788354,0.79734,0.766106,0.788354,perturb_als_in_comparative_constructions,xlm-roberta-base
38,0.788354,0.79734,0.739769,0.786114,perturb_am_infinitive,xlm-roberta-base
39,0.788354,0.79734,0.765838,0.788354,perturb_article_before_personal_name,xlm-roberta-base
40,0.788354,0.79734,0.745057,0.788354,perturb_contracted_verb_and_pronoun,xlm-roberta-base
41,0.788354,0.79734,0.765838,0.788354,perturb_da,xlm-roberta-base
