,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,perturbation,transformer_model
0,0.835239,0.724987,0.719575,0.834566,perturb_2_verb_clusters,google/rembert
1,0.835239,0.724987,0.720765,0.835239,perturb_als_in_comparative_constructions,google/rembert
2,0.835239,0.724987,0.709346,0.832213,perturb_am_infinitive,google/rembert
3,0.835239,0.724987,0.631113,0.832213,perturb_article_before_personal_name,google/rembert
4,0.835239,0.724987,0.684621,0.835239,perturb_contracted_verb_and_pronoun,google/rembert
5,0.835239,0.724987,0.720638,0.835239,perturb_da,google/rembert
6,0.835239,0.724987,0.557587,0.833557,perturb_denn_in_questions,google/rembert
7,0.835239,0.724987,0.720638,0.835239,perturb_double_article,google/rembert
8,0.835239,0.724987,0.720638,0.835239,perturb_existential_clause,google/rembert
9,0.835239,0.724987,0.707736,0.834902,perturb_genitive_to_dativ,google/rembert
10,0.835239,0.724987,0.720596,0.833221,perturb_in,google/rembert
11,0.835239,0.724987,0.719957,0.83423,perturb_nach,google/rembert
12,0.835239,0.724987,0.719929,0.835239,perturb_negative_concord,google/rembert
13,0.835239,0.724987,0.718966,0.835239,perturb_possesive_genitive,google/rembert
14,0.835239,0.724987,0.720638,0.835239,perturb_relative_pronoun,google/rembert
15,0.835239,0.724987,0.720497,0.829859,perturb_schwa_elision_in_verbs,google/rembert
16,0.835239,0.724987,0.656923,0.788837,perturb_swap_name,google/rembert
17,0.835239,0.724987,0.64067,0.816745,perturb_tun_imperativ,google/rembert
18,0.54035,0.499376,0.494798,0.540686,perturb_2_verb_clusters,bert-base-multilingual-cased
19,0.54035,0.499376,0.496363,0.54035,perturb_als_in_comparative_constructions,bert-base-multilingual-cased
20,0.54035,0.499376,0.483717,0.535306,perturb_am_infinitive,bert-base-multilingual-cased
21,0.54035,0.499376,0.413952,0.538332,perturb_article_before_personal_name,bert-base-multilingual-cased
22,0.54035,0.499376,0.477736,0.538668,perturb_contracted_verb_and_pronoun,bert-base-multilingual-cased
23,0.54035,0.499376,0.496363,0.54035,perturb_da,bert-base-multilingual-cased
24,0.54035,0.499376,0.376957,0.534297,perturb_denn_in_questions,bert-base-multilingual-cased
25,0.54035,0.499376,0.496363,0.54035,perturb_double_article,bert-base-multilingual-cased
26,0.54035,0.499376,0.496363,0.54035,perturb_existential_clause,bert-base-multilingual-cased
27,0.54035,0.499376,0.489948,0.541022,perturb_genitive_to_dativ,bert-base-multilingual-cased
28,0.54035,0.499376,0.492494,0.536651,perturb_in,bert-base-multilingual-cased
29,0.54035,0.499376,0.496982,0.539341,perturb_nach,bert-base-multilingual-cased
30,0.54035,0.499376,0.495947,0.54035,perturb_negative_concord,bert-base-multilingual-cased
31,0.54035,0.499376,0.494592,0.541022,perturb_possesive_genitive,bert-base-multilingual-cased
32,0.54035,0.499376,0.496363,0.54035,perturb_relative_pronoun,bert-base-multilingual-cased
33,0.54035,0.499376,0.486306,0.53766,perturb_schwa_elision_in_verbs,bert-base-multilingual-cased
34,0.54035,0.499376,0.434248,0.505044,perturb_swap_name,bert-base-multilingual-cased
35,0.54035,0.499376,0.430671,0.518494,perturb_tun_imperativ,bert-base-multilingual-cased
36,0.565905,0.555556,0.551683,0.565568,perturb_2_verb_clusters,microsoft/Multilingual-MiniLM-L12-H384
37,0.565905,0.555556,0.551901,0.565905,perturb_als_in_comparative_constructions,microsoft/Multilingual-MiniLM-L12-H384
38,0.565905,0.555556,0.54119,0.558507,perturb_am_infinitive,microsoft/Multilingual-MiniLM-L12-H384
39,0.565905,0.555556,0.469121,0.560861,perturb_article_before_personal_name,microsoft/Multilingual-MiniLM-L12-H384
40,0.565905,0.555556,0.523113,0.563551,perturb_contracted_verb_and_pronoun,microsoft/Multilingual-MiniLM-L12-H384
41,0.565905,0.555556,0.552403,0.565568,perturb_da,microsoft/Multilingual-MiniLM-L12-H384
42,0.565905,0.555556,0.413766,0.565568,perturb_denn_in_questions,microsoft/Multilingual-MiniLM-L12-H384
43,0.565905,0.555556,0.552403,0.565905,perturb_double_article,microsoft/Multilingual-MiniLM-L12-H384
44,0.565905,0.555556,0.552403,0.565905,perturb_existential_clause,microsoft/Multilingual-MiniLM-L12-H384
45,0.565905,0.555556,0.544631,0.56456,perturb_genitive_to_dativ,microsoft/Multilingual-MiniLM-L12-H384
46,0.565905,0.555556,0.546139,0.565905,perturb_in,microsoft/Multilingual-MiniLM-L12-H384
47,0.565905,0.555556,0.551262,0.567249,perturb_nach,microsoft/Multilingual-MiniLM-L12-H384
48,0.565905,0.555556,0.552403,0.565905,perturb_negative_concord,microsoft/Multilingual-MiniLM-L12-H384
49,0.565905,0.555556,0.550719,0.566241,perturb_possesive_genitive,microsoft/Multilingual-MiniLM-L12-H384
50,0.565905,0.555556,0.552403,0.565905,perturb_relative_pronoun,microsoft/Multilingual-MiniLM-L12-H384
51,0.565905,0.555556,0.557112,0.560188,perturb_schwa_elision_in_verbs,microsoft/Multilingual-MiniLM-L12-H384
52,0.565905,0.555556,0.48471,0.523874,perturb_swap_name,microsoft/Multilingual-MiniLM-L12-H384
53,0.565905,0.555556,0.492192,0.573974,perturb_tun_imperativ,microsoft/Multilingual-MiniLM-L12-H384
54,0.572293,0.544494,0.540689,0.571284,perturb_2_verb_clusters,microsoft/Multilingual-MiniLM-L12-H384
55,0.572293,0.544494,0.541365,0.572293,perturb_als_in_comparative_constructions,microsoft/Multilingual-MiniLM-L12-H384
56,0.572293,0.544494,0.532891,0.567922,perturb_am_infinitive,microsoft/Multilingual-MiniLM-L12-H384
57,0.572293,0.544494,0.461357,0.571284,perturb_article_before_personal_name,microsoft/Multilingual-MiniLM-L12-H384
58,0.572293,0.544494,0.512921,0.569939,perturb_contracted_verb_and_pronoun,microsoft/Multilingual-MiniLM-L12-H384
59,0.572293,0.544494,0.541365,0.571957,perturb_da,microsoft/Multilingual-MiniLM-L12-H384
60,0.572293,0.544494,0.405638,0.570276,perturb_denn_in_questions,microsoft/Multilingual-MiniLM-L12-H384
61,0.572293,0.544494,0.541365,0.572293,perturb_double_article,microsoft/Multilingual-MiniLM-L12-H384
62,0.572293,0.544494,0.541365,0.572293,perturb_existential_clause,microsoft/Multilingual-MiniLM-L12-H384
63,0.572293,0.544494,0.533307,0.569939,perturb_genitive_to_dativ,microsoft/Multilingual-MiniLM-L12-H384
64,0.572293,0.544494,0.534801,0.572966,perturb_in,microsoft/Multilingual-MiniLM-L12-H384
65,0.572293,0.544494,0.540266,0.572629,perturb_nach,microsoft/Multilingual-MiniLM-L12-H384
66,0.572293,0.544494,0.540583,0.572293,perturb_negative_concord,microsoft/Multilingual-MiniLM-L12-H384
67,0.572293,0.544494,0.539304,0.572293,perturb_possesive_genitive,microsoft/Multilingual-MiniLM-L12-H384
68,0.572293,0.544494,0.541365,0.572293,perturb_relative_pronoun,microsoft/Multilingual-MiniLM-L12-H384
69,0.572293,0.544494,0.5462,0.568594,perturb_schwa_elision_in_verbs,microsoft/Multilingual-MiniLM-L12-H384
70,0.572293,0.544494,0.478153,0.528245,perturb_swap_name,microsoft/Multilingual-MiniLM-L12-H384
71,0.572293,0.544494,0.484202,0.585071,perturb_tun_imperativ,microsoft/Multilingual-MiniLM-L12-H384
72,0.837592,0.735101,0.730085,0.837256,perturb_2_verb_clusters,google/rembert
73,0.837592,0.735101,0.729989,0.837592,perturb_als_in_comparative_constructions,google/rembert
74,0.837592,0.735101,0.72057,0.835239,perturb_am_infinitive,google/rembert
75,0.837592,0.735101,0.639146,0.83692,perturb_article_before_personal_name,google/rembert
76,0.837592,0.735101,0.697633,0.83692,perturb_contracted_verb_and_pronoun,google/rembert
77,0.837592,0.735101,0.730345,0.837592,perturb_da,google/rembert
78,0.837592,0.735101,0.57214,0.835911,perturb_denn_in_questions,google/rembert
79,0.837592,0.735101,0.730345,0.837592,perturb_double_article,google/rembert
80,0.837592,0.735101,0.730345,0.837592,perturb_existential_clause,google/rembert
81,0.837592,0.735101,0.717055,0.835911,perturb_genitive_to_dativ,google/rembert
82,0.837592,0.735101,0.728989,0.834902,perturb_in,google/rembert
83,0.837592,0.735101,0.730119,0.837256,perturb_nach,google/rembert
84,0.837592,0.735101,0.729763,0.83692,perturb_negative_concord,google/rembert
85,0.837592,0.735101,0.728211,0.837592,perturb_possesive_genitive,google/rembert
86,0.837592,0.735101,0.730345,0.837592,perturb_relative_pronoun,google/rembert
87,0.837592,0.735101,0.732175,0.834902,perturb_schwa_elision_in_verbs,google/rembert
88,0.837592,0.735101,0.666415,0.797915,perturb_swap_name,google/rembert
89,0.837592,0.735101,0.649973,0.822798,perturb_tun_imperativ,google/rembert
90,0.838937,0.737805,0.733309,0.837929,perturb_2_verb_clusters,google/rembert
91,0.838937,0.737805,0.733859,0.838937,perturb_als_in_comparative_constructions,google/rembert
92,0.838937,0.737805,0.721223,0.834902,perturb_am_infinitive,google/rembert
93,0.838937,0.737805,0.64109,0.838265,perturb_article_before_personal_name,google/rembert
94,0.838937,0.737805,0.699552,0.837929,perturb_contracted_verb_and_pronoun,google/rembert
95,0.838937,0.737805,0.733859,0.838937,perturb_da,google/rembert
96,0.838937,0.737805,0.566762,0.837256,perturb_denn_in_questions,google/rembert
97,0.838937,0.737805,0.733859,0.838937,perturb_double_article,google/rembert
98,0.838937,0.737805,0.733859,0.838937,perturb_existential_clause,google/rembert
99,0.838937,0.737805,0.72033,0.837592,perturb_genitive_to_dativ,google/rembert
100,0.838937,0.737805,0.731742,0.836584,perturb_in,google/rembert
101,0.838937,0.737805,0.73484,0.838937,perturb_nach,google/rembert
102,0.838937,0.737805,0.733142,0.838937,perturb_negative_concord,google/rembert
103,0.838937,0.737805,0.730631,0.838937,perturb_possesive_genitive,google/rembert
104,0.838937,0.737805,0.733859,0.838937,perturb_relative_pronoun,google/rembert
105,0.838937,0.737805,0.735599,0.836247,perturb_schwa_elision_in_verbs,google/rembert
106,0.838937,0.737805,0.668188,0.794217,perturb_swap_name,google/rembert
107,0.838937,0.737805,0.654303,0.825151,perturb_tun_imperativ,google/rembert
108,0.747814,0.66342,0.66042,0.747814,perturb_2_verb_clusters,xlm-roberta-base
109,0.747814,0.66342,0.660671,0.747478,perturb_als_in_comparative_constructions,xlm-roberta-base
110,0.747814,0.66342,0.649794,0.742434,perturb_am_infinitive,xlm-roberta-base
111,0.747814,0.66342,0.570944,0.745461,perturb_article_before_personal_name,xlm-roberta-base
112,0.747814,0.66342,0.628818,0.747142,perturb_contracted_verb_and_pronoun,xlm-roberta-base
113,0.747814,0.66342,0.660798,0.747814,perturb_da,xlm-roberta-base
114,0.747814,0.66342,0.505816,0.742434,perturb_denn_in_questions,xlm-roberta-base
115,0.747814,0.66342,0.660798,0.747814,perturb_double_article,xlm-roberta-base
116,0.747814,0.66342,0.660798,0.747814,perturb_existential_clause,xlm-roberta-base
117,0.747814,0.66342,0.647566,0.745797,perturb_genitive_to_dativ,xlm-roberta-base
118,0.747814,0.66342,0.656649,0.746469,perturb_in,xlm-roberta-base
119,0.747814,0.66342,0.659798,0.747478,perturb_nach,xlm-roberta-base
120,0.747814,0.66342,0.660423,0.747814,perturb_negative_concord,xlm-roberta-base
121,0.747814,0.66342,0.657555,0.747814,perturb_possesive_genitive,xlm-roberta-base
122,0.747814,0.66342,0.660798,0.747814,perturb_relative_pronoun,xlm-roberta-base
123,0.747814,0.66342,0.659944,0.740753,perturb_schwa_elision_in_verbs,xlm-roberta-base
124,0.747814,0.66342,0.596463,0.70343,perturb_swap_name,xlm-roberta-base
125,0.747814,0.66342,0.58708,0.731002,perturb_tun_imperativ,xlm-roberta-base
126,0.748823,0.650652,0.647048,0.749496,perturb_2_verb_clusters,xlm-roberta-base
127,0.748823,0.650652,0.647048,0.748823,perturb_als_in_comparative_constructions,xlm-roberta-base
128,0.748823,0.650652,0.634328,0.741089,perturb_am_infinitive,xlm-roberta-base
129,0.748823,0.650652,0.559493,0.745797,perturb_article_before_personal_name,xlm-roberta-base
130,0.748823,0.650652,0.615642,0.748151,perturb_contracted_verb_and_pronoun,xlm-roberta-base
131,0.748823,0.650652,0.6473,0.748823,perturb_da,xlm-roberta-base
132,0.748823,0.650652,0.498602,0.749832,perturb_denn_in_questions,xlm-roberta-base
133,0.748823,0.650652,0.6473,0.748823,perturb_double_article,xlm-roberta-base
134,0.748823,0.650652,0.6473,0.748823,perturb_existential_clause,xlm-roberta-base
135,0.748823,0.650652,0.63342,0.747142,perturb_genitive_to_dativ,xlm-roberta-base
136,0.748823,0.650652,0.646642,0.745797,perturb_in,xlm-roberta-base
137,0.748823,0.650652,0.646039,0.748487,perturb_nach,xlm-roberta-base
138,0.748823,0.650652,0.646796,0.748151,perturb_negative_concord,xlm-roberta-base
139,0.748823,0.650652,0.64557,0.748823,perturb_possesive_genitive,xlm-roberta-base
140,0.748823,0.650652,0.6473,0.748823,perturb_relative_pronoun,xlm-roberta-base
141,0.748823,0.650652,0.645257,0.740753,perturb_schwa_elision_in_verbs,xlm-roberta-base
142,0.748823,0.650652,0.582513,0.698722,perturb_swap_name,xlm-roberta-base
143,0.748823,0.650652,0.574916,0.737727,perturb_tun_imperativ,xlm-roberta-base
144,0.554472,0.484394,0.48073,0.55649,perturb_2_verb_clusters,bert-base-multilingual-cased
145,0.554472,0.484394,0.481557,0.554472,perturb_als_in_comparative_constructions,bert-base-multilingual-cased
146,0.554472,0.484394,0.471446,0.549765,perturb_am_infinitive,bert-base-multilingual-cased
147,0.554472,0.484394,0.401061,0.552455,perturb_article_before_personal_name,bert-base-multilingual-cased
148,0.554472,0.484394,0.463064,0.553463,perturb_contracted_verb_and_pronoun,bert-base-multilingual-cased
149,0.554472,0.484394,0.481459,0.554136,perturb_da,bert-base-multilingual-cased
150,0.554472,0.484394,0.369362,0.552455,perturb_denn_in_questions,bert-base-multilingual-cased
151,0.554472,0.484394,0.481459,0.554472,perturb_double_article,bert-base-multilingual-cased
152,0.554472,0.484394,0.481459,0.554472,perturb_existential_clause,bert-base-multilingual-cased
153,0.554472,0.484394,0.472419,0.553127,perturb_genitive_to_dativ,bert-base-multilingual-cased
154,0.554472,0.484394,0.477102,0.552455,perturb_in,bert-base-multilingual-cased
155,0.554472,0.484394,0.476867,0.5538,perturb_nach,bert-base-multilingual-cased
156,0.554472,0.484394,0.481151,0.554472,perturb_negative_concord,bert-base-multilingual-cased
157,0.554472,0.484394,0.479124,0.554808,perturb_possesive_genitive,bert-base-multilingual-cased
158,0.554472,0.484394,0.481459,0.554472,perturb_relative_pronoun,bert-base-multilingual-cased
159,0.554472,0.484394,0.479302,0.55111,perturb_schwa_elision_in_verbs,bert-base-multilingual-cased
160,0.554472,0.484394,0.417526,0.514122,perturb_swap_name,bert-base-multilingual-cased
161,0.554472,0.484394,0.420705,0.527909,perturb_tun_imperativ,bert-base-multilingual-cased
162,0.840282,0.733981,0.728222,0.840619,perturb_2_verb_clusters,microsoft/mdeberta-v3-base
163,0.840282,0.733981,0.72989,0.839946,perturb_als_in_comparative_constructions,microsoft/mdeberta-v3-base
164,0.840282,0.733981,0.713668,0.83692,perturb_am_infinitive,microsoft/mdeberta-v3-base
165,0.840282,0.733981,0.635235,0.838265,perturb_article_before_personal_name,microsoft/mdeberta-v3-base
166,0.840282,0.733981,0.694369,0.840955,perturb_contracted_verb_and_pronoun,microsoft/mdeberta-v3-base
167,0.840282,0.733981,0.72989,0.840282,perturb_da,microsoft/mdeberta-v3-base
168,0.840282,0.733981,0.56597,0.838937,perturb_denn_in_questions,microsoft/mdeberta-v3-base
169,0.840282,0.733981,0.72989,0.840282,perturb_double_article,microsoft/mdeberta-v3-base
170,0.840282,0.733981,0.72989,0.840282,perturb_existential_clause,microsoft/mdeberta-v3-base
171,0.840282,0.733981,0.716499,0.837592,perturb_genitive_to_dativ,microsoft/mdeberta-v3-base
172,0.840282,0.733981,0.730119,0.838937,perturb_in,microsoft/mdeberta-v3-base
173,0.840282,0.733981,0.730382,0.839274,perturb_nach,microsoft/mdeberta-v3-base
174,0.840282,0.733981,0.72953,0.840282,perturb_negative_concord,microsoft/mdeberta-v3-base
175,0.840282,0.733981,0.72688,0.840282,perturb_possesive_genitive,microsoft/mdeberta-v3-base
176,0.840282,0.733981,0.72989,0.840282,perturb_relative_pronoun,microsoft/mdeberta-v3-base
177,0.840282,0.733981,0.729822,0.838937,perturb_schwa_elision_in_verbs,microsoft/mdeberta-v3-base
178,0.840282,0.733981,0.66438,0.795225,perturb_swap_name,microsoft/mdeberta-v3-base
179,0.840282,0.733981,0.644548,0.825824,perturb_tun_imperativ,microsoft/mdeberta-v3-base
180,0.848016,0.739677,0.734914,0.849025,perturb_2_verb_clusters,microsoft/mdeberta-v3-base
181,0.848016,0.739677,0.736577,0.84768,perturb_als_in_comparative_constructions,microsoft/mdeberta-v3-base
