,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,transformer_model
0,0.612285,0.586304,0.517069,0.531417,distilbert-base-multilingual-cased
1,0.667794,0.673144,0.596469,0.57002,bert-base-multilingual-cased
2,0.915751,0.799711,0.724748,0.832911,google/rembert
3,0.771203,0.713756,0.639893,0.70217,microsoft/Multilingual-MiniLM-L12-H384
4,0.919414,0.792231,0.729033,0.841646,microsoft/mdeberta-v3-base
5,0.914624,0.799104,0.726616,0.828966,google/rembert
6,0.675965,0.674168,0.591678,0.580727,bert-base-multilingual-cased
7,0.922795,0.798885,0.73166,0.842773,microsoft/mdeberta-v3-base
8,0.901944,0.803764,0.736061,0.823894,microsoft/mdeberta-v3-base
9,0.916314,0.798188,0.721171,0.821922,google/rembert
10,0.920823,0.797273,0.719611,0.828121,google/rembert
11,0.708087,0.679709,0.60848,0.624119,bert-base-multilingual-cased
12,0.871231,0.784701,0.709601,0.7898,xlm-roberta-base
13,0.681882,0.68234,0.612167,0.596788,bert-base-multilingual-cased
14,0.897718,0.777691,0.704061,0.800507,xlm-roberta-base
15,0.757396,0.698192,0.6217,0.695689,microsoft/Multilingual-MiniLM-L12-H384
16,0.606086,0.605818,0.525853,0.528036,distilbert-base-multilingual-cased
17,0.75796,0.712045,0.64467,0.687518,microsoft/Multilingual-MiniLM-L12-H384
18,0.876021,0.77485,0.70393,0.790927,xlm-roberta-base
19,0.760496,0.71013,0.640901,0.682446,microsoft/Multilingual-MiniLM-L12-H384
20,0.724993,0.669969,0.594497,0.622147,bert-base-multilingual-cased
21,0.601578,0.597541,0.533981,0.541843,distilbert-base-multilingual-cased
22,0.613412,0.60276,0.525394,0.543815,distilbert-base-multilingual-cased
23,0.91885,0.790329,0.709137,0.833474,google/rembert
24,0.759932,0.695855,0.627687,0.682728,microsoft/Multilingual-MiniLM-L12-H384
25,0.887574,0.778916,0.702577,0.805297,xlm-roberta-base
26,0.887574,0.775984,0.701116,0.798817,xlm-roberta-base
27,0.910961,0.797289,0.735379,0.825021,microsoft/mdeberta-v3-base
28,0.907016,0.796732,0.73277,0.819104,microsoft/mdeberta-v3-base
29,0.577346,0.594269,0.516369,0.504367,distilbert-base-multilingual-cased
