,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,transformer_model
0,0.792833,0.920451,0.866049,0.790594,distilbert-base-multilingual-cased
1,0.793953,0.92221,0.89973,0.792833,xlm-roberta-base
2,0.754759,0.890727,0.819867,0.755879,microsoft/Multilingual-MiniLM-L12-H384
3,0.790594,0.926623,0.895635,0.789474,xlm-roberta-base
4,0.792833,0.92652,0.895672,0.790594,microsoft/mdeberta-v3-base
5,0.792833,0.928973,0.886829,0.790594,bert-base-multilingual-cased
6,0.790594,0.927552,0.898128,0.790594,xlm-roberta-base
7,0.791713,0.92489,0.885076,0.789474,bert-base-multilingual-cased
8,0.797312,0.923158,0.897652,0.793953,google/rembert
9,0.792833,0.923645,0.904031,0.792833,google/rembert
10,0.793953,0.920373,0.885375,0.790594,distilbert-base-multilingual-cased
11,0.795073,0.926512,0.900448,0.793953,bert-base-multilingual-cased
12,0.792833,0.921424,0.87869,0.790594,distilbert-base-multilingual-cased
13,0.789474,0.926108,0.901968,0.786114,bert-base-multilingual-cased
14,0.791713,0.921427,0.873093,0.791713,distilbert-base-multilingual-cased
15,0.792833,0.926167,0.890873,0.790594,google/rembert
16,0.796193,0.92416,0.894248,0.795073,microsoft/mdeberta-v3-base
17,0.793953,0.92725,0.904608,0.790594,microsoft/mdeberta-v3-base
18,0.760358,0.886232,0.840137,0.759239,microsoft/Multilingual-MiniLM-L12-H384
19,0.790594,0.925084,0.895807,0.787234,xlm-roberta-base
20,0.792833,0.92286,0.899099,0.792833,google/rembert
21,0.792833,0.92213,0.874754,0.790594,distilbert-base-multilingual-cased
22,0.789474,0.926701,0.884267,0.787234,bert-base-multilingual-cased
23,0.753639,0.887408,0.814124,0.753639,microsoft/Multilingual-MiniLM-L12-H384
24,0.796193,0.9224,0.902391,0.792833,microsoft/mdeberta-v3-base
25,0.792833,0.926623,0.900072,0.789474,xlm-roberta-base
26,0.784994,0.920501,0.893793,0.783875,google/rembert
27,0.793953,0.926975,0.896687,0.790594,microsoft/mdeberta-v3-base
28,0.755879,0.895606,0.812836,0.755879,microsoft/Multilingual-MiniLM-L12-H384
29,0.760358,0.89006,0.818378,0.760358,microsoft/Multilingual-MiniLM-L12-H384
