,intact_intent-acc.,intact_slot-f1,slot-f1,intent-acc.,transformer_model
78,0.992,0.844581,0.791383,0.97,distilbert-base-multilingual-cased
79,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
80,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
81,0.992,0.860215,0.791383,0.97,distilbert-base-multilingual-cased
82,0.992,0.854675,0.791383,0.97,distilbert-base-multilingual-cased
83,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
84,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
85,0.992,0.854508,0.791383,0.97,distilbert-base-multilingual-cased
86,0.992,0.857143,0.791383,0.97,distilbert-base-multilingual-cased
87,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
88,0.992,0.861097,0.791383,0.97,distilbert-base-multilingual-cased
89,0.992,0.856996,0.791383,0.97,distilbert-base-multilingual-cased
90,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
91,0.992,0.85041,0.791383,0.97,distilbert-base-multilingual-cased
92,0.992,0.866838,0.791383,0.97,distilbert-base-multilingual-cased
93,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
94,0.992,0.945624,0.791383,0.97,distilbert-base-multilingual-cased
95,0.992,0.780615,0.791383,0.97,distilbert-base-multilingual-cased
96,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
97,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
98,0.992,0.859631,0.791383,0.97,distilbert-base-multilingual-cased
99,0.97,0.379085,0.791383,0.97,distilbert-base-multilingual-cased
100,0.992,0.716189,0.791383,0.97,distilbert-base-multilingual-cased
101,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
102,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
103,0.992,0.862705,0.791383,0.97,distilbert-base-multilingual-cased
104,0.992,0.857582,0.791383,0.97,distilbert-base-multilingual-cased
105,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
106,0.992,0.860656,0.791383,0.97,distilbert-base-multilingual-cased
107,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
108,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
109,0.99,0.827268,0.791383,0.97,distilbert-base-multilingual-cased
110,0.992,0.848057,0.791383,0.97,distilbert-base-multilingual-cased
111,0.992,0.860656,0.791383,0.97,distilbert-base-multilingual-cased
112,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
113,0.992,0.807377,0.791383,0.97,distilbert-base-multilingual-cased
114,0.992,0.856557,0.791383,0.97,distilbert-base-multilingual-cased
115,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
116,0.992,0.852713,0.791383,0.97,distilbert-base-multilingual-cased
117,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
118,0.992,0.829318,0.791383,0.97,distilbert-base-multilingual-cased
119,0.992,0.86168,0.791383,0.97,distilbert-base-multilingual-cased
120,0.992,0.860656,0.791383,0.97,distilbert-base-multilingual-cased
121,0.992,0.855819,0.792559,0.962,distilbert-base-multilingual-cased
122,0.962,0.379198,0.792559,0.962,distilbert-base-multilingual-cased
123,0.992,0.820253,0.792559,0.962,distilbert-base-multilingual-cased
124,0.992,0.860941,0.792559,0.962,distilbert-base-multilingual-cased
125,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
126,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
127,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
128,0.94,0.311861,0.792559,0.962,distilbert-base-multilingual-cased
129,0.992,0.78977,0.792559,0.962,distilbert-base-multilingual-cased
130,0.992,0.824131,0.792559,0.962,distilbert-base-multilingual-cased
131,0.992,0.856851,0.792559,0.962,distilbert-base-multilingual-cased
132,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
133,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
134,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
135,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
136,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
137,0.992,0.862986,0.792559,0.962,distilbert-base-multilingual-cased
138,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
139,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
140,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
141,0.994,0.868098,0.792559,0.962,distilbert-base-multilingual-cased
142,0.992,0.858896,0.792559,0.962,distilbert-base-multilingual-cased
143,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
144,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
145,0.992,0.868852,0.792559,0.962,distilbert-base-multilingual-cased
146,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
147,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
148,0.99,0.859479,0.792559,0.962,distilbert-base-multilingual-cased
149,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
150,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
151,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
152,0.99,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
153,0.992,0.826176,0.792559,0.962,distilbert-base-multilingual-cased
154,0.992,0.863427,0.792559,0.962,distilbert-base-multilingual-cased
155,0.992,0.861396,0.792559,0.962,distilbert-base-multilingual-cased
156,0.992,0.799387,0.792559,0.962,distilbert-base-multilingual-cased
157,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
158,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
159,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
160,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
161,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
162,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
163,0.992,0.862986,0.792559,0.962,distilbert-base-multilingual-cased
164,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
165,0.992,0.845761,0.792559,0.962,distilbert-base-multilingual-cased
166,0.992,0.852761,0.792559,0.962,distilbert-base-multilingual-cased
167,0.99,0.829842,0.792559,0.962,distilbert-base-multilingual-cased
168,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
169,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
170,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
171,0.992,0.791411,0.792559,0.962,distilbert-base-multilingual-cased
172,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
173,0.99,0.808101,0.792559,0.962,distilbert-base-multilingual-cased
174,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
175,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
176,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
177,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
178,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
179,0.992,0.833333,0.792559,0.962,distilbert-base-multilingual-cased
180,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
181,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
182,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
183,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
184,0.992,0.740286,0.792559,0.962,distilbert-base-multilingual-cased
185,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
186,0.898,0.354082,0.792559,0.962,distilbert-base-multilingual-cased
187,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
188,0.992,0.861083,0.792559,0.962,distilbert-base-multilingual-cased
189,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
190,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
191,0.992,0.854806,0.792559,0.962,distilbert-base-multilingual-cased
192,0.992,0.826176,0.792559,0.962,distilbert-base-multilingual-cased
193,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
194,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
195,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
196,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
197,0.992,0.765849,0.792559,0.962,distilbert-base-multilingual-cased
198,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
199,0.992,0.847371,0.792559,0.962,distilbert-base-multilingual-cased
200,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
201,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
202,0.992,0.862545,0.792559,0.962,distilbert-base-multilingual-cased
203,0.992,0.862245,0.792559,0.962,distilbert-base-multilingual-cased
204,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
205,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
206,0.992,0.856851,0.792559,0.962,distilbert-base-multilingual-cased
207,0.992,0.85904,0.792559,0.962,distilbert-base-multilingual-cased
208,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
209,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
210,0.992,0.858896,0.792559,0.962,distilbert-base-multilingual-cased
211,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
212,0.992,0.852761,0.792559,0.962,distilbert-base-multilingual-cased
213,0.992,0.867692,0.792559,0.962,distilbert-base-multilingual-cased
214,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
215,0.992,0.94568,0.792559,0.962,distilbert-base-multilingual-cased
216,0.992,0.782926,0.792559,0.962,distilbert-base-multilingual-cased
217,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
218,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
219,0.992,0.861963,0.792559,0.962,distilbert-base-multilingual-cased
220,0.962,0.379198,0.792559,0.962,distilbert-base-multilingual-cased
221,0.994,0.717791,0.792559,0.962,distilbert-base-multilingual-cased
222,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
223,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
224,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
225,0.992,0.859918,0.792559,0.962,distilbert-base-multilingual-cased
226,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
227,0.992,0.862986,0.792559,0.962,distilbert-base-multilingual-cased
228,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
229,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
230,0.992,0.830691,0.792559,0.962,distilbert-base-multilingual-cased
231,0.99,0.860927,0.792559,0.962,distilbert-base-multilingual-cased
232,0.992,0.862986,0.792559,0.962,distilbert-base-multilingual-cased
233,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
234,0.992,0.808793,0.792559,0.962,distilbert-base-multilingual-cased
235,0.992,0.858896,0.792559,0.962,distilbert-base-multilingual-cased
236,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
237,0.992,0.857438,0.792559,0.962,distilbert-base-multilingual-cased
238,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
239,0.992,0.833333,0.792559,0.962,distilbert-base-multilingual-cased
240,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
241,0.992,0.864008,0.792559,0.962,distilbert-base-multilingual-cased
242,0.99,0.877871,0.802953,0.984,xlm-roberta-large
243,0.99,0.877871,0.802953,0.984,google/rembert
244,0.984,0.382979,0.802953,0.984,xlm-roberta-large
245,0.984,0.382979,0.802953,0.984,google/rembert
246,0.99,0.845756,0.802953,0.984,xlm-roberta-large
247,0.99,0.845756,0.802953,0.984,google/rembert
248,0.99,0.881286,0.802953,0.984,xlm-roberta-large
249,0.99,0.881286,0.802953,0.984,google/rembert
250,0.99,0.884396,0.802953,0.984,xlm-roberta-large
251,0.99,0.884396,0.802953,0.984,google/rembert
252,0.99,0.884396,0.802953,0.984,xlm-roberta-large
253,0.99,0.884396,0.802953,0.984,google/rembert
254,0.99,0.884396,0.802953,0.984,xlm-roberta-large
255,0.99,0.884396,0.802953,0.984,google/rembert
256,0.986,0.319336,0.802953,0.984,xlm-roberta-large
257,0.986,0.319336,0.802953,0.984,google/rembert
258,0.99,0.807672,0.802953,0.984,xlm-roberta-large
259,0.99,0.807672,0.802953,0.984,google/rembert
260,0.99,0.842924,0.802953,0.984,xlm-roberta-large
261,0.99,0.842924,0.802953,0.984,google/rembert
262,0.99,0.877138,0.802953,0.984,xlm-roberta-large
263,0.99,0.877138,0.802953,0.984,google/rembert
264,0.99,0.884396,0.802953,0.984,xlm-roberta-large
265,0.99,0.884396,0.802953,0.984,google/rembert
266,0.99,0.884396,0.802953,0.984,xlm-roberta-large
267,0.99,0.884396,0.802953,0.984,google/rembert
268,0.99,0.884396,0.802953,0.984,xlm-roberta-large
269,0.99,0.884396,0.802953,0.984,google/rembert
270,0.99,0.884396,0.802953,0.984,xlm-roberta-large
271,0.99,0.884396,0.802953,0.984,google/rembert
272,0.99,0.884396,0.802953,0.984,xlm-roberta-large
273,0.99,0.884396,0.802953,0.984,google/rembert
274,0.99,0.883359,0.802953,0.984,xlm-roberta-large
275,0.99,0.883359,0.802953,0.984,google/rembert
276,0.99,0.884396,0.802953,0.984,xlm-roberta-large
277,0.99,0.884396,0.802953,0.984,google/rembert
278,0.99,0.884396,0.802953,0.984,xlm-roberta-large
279,0.99,0.884396,0.802953,0.984,google/rembert
280,0.99,0.884396,0.802953,0.984,xlm-roberta-large
281,0.99,0.884396,0.802953,0.984,google/rembert
282,0.988,0.887506,0.802953,0.984,xlm-roberta-large
283,0.988,0.887506,0.802953,0.984,google/rembert
284,0.99,0.879212,0.802953,0.984,xlm-roberta-large
285,0.99,0.879212,0.802953,0.984,google/rembert
286,0.99,0.884396,0.802953,0.984,xlm-roberta-large
287,0.99,0.884396,0.802953,0.984,google/rembert
288,0.99,0.884396,0.802953,0.984,xlm-roberta-large
289,0.99,0.884396,0.802953,0.984,google/rembert
290,0.992,0.889465,0.802953,0.984,xlm-roberta-large
291,0.992,0.889465,0.802953,0.984,google/rembert
292,0.99,0.884396,0.802953,0.984,xlm-roberta-large
293,0.99,0.884396,0.802953,0.984,google/rembert
294,0.99,0.884396,0.802953,0.984,xlm-roberta-large
295,0.99,0.884396,0.802953,0.984,google/rembert
296,0.99,0.884396,0.802953,0.984,xlm-roberta-large
297,0.99,0.884396,0.802953,0.984,google/rembert
298,0.99,0.884396,0.802953,0.984,xlm-roberta-large
299,0.99,0.884396,0.802953,0.984,google/rembert
300,0.99,0.884396,0.802953,0.984,xlm-roberta-large
301,0.99,0.884396,0.802953,0.984,google/rembert
302,0.99,0.884396,0.802953,0.984,xlm-roberta-large
303,0.99,0.884396,0.802953,0.984,google/rembert
304,0.99,0.884396,0.802953,0.984,xlm-roberta-large
305,0.99,0.884396,0.802953,0.984,google/rembert
306,0.99,0.844997,0.802953,0.984,xlm-roberta-large
307,0.99,0.844997,0.802953,0.984,google/rembert
308,0.99,0.883817,0.802953,0.984,xlm-roberta-large
309,0.99,0.883817,0.802953,0.984,google/rembert
310,0.99,0.883576,0.802953,0.984,xlm-roberta-large
311,0.99,0.883576,0.802953,0.984,google/rembert
312,0.99,0.815735,0.802953,0.984,xlm-roberta-large
313,0.99,0.815735,0.802953,0.984,google/rembert
314,0.99,0.884396,0.802953,0.984,xlm-roberta-large
315,0.99,0.884396,0.802953,0.984,google/rembert
316,0.99,0.884396,0.802953,0.984,xlm-roberta-large
317,0.99,0.884396,0.802953,0.984,google/rembert
318,0.99,0.884396,0.802953,0.984,xlm-roberta-large
319,0.99,0.884396,0.802953,0.984,google/rembert
320,0.99,0.884396,0.802953,0.984,xlm-roberta-large
321,0.99,0.884396,0.802953,0.984,google/rembert
322,0.99,0.884396,0.802953,0.984,xlm-roberta-large
323,0.99,0.884396,0.802953,0.984,google/rembert
324,0.99,0.884396,0.802953,0.984,xlm-roberta-large
325,0.99,0.884396,0.802953,0.984,google/rembert
326,0.99,0.882902,0.802953,0.984,xlm-roberta-large
327,0.99,0.882902,0.802953,0.984,google/rembert
328,0.99,0.884396,0.802953,0.984,xlm-roberta-large
329,0.99,0.884396,0.802953,0.984,google/rembert
330,0.99,0.865734,0.802953,0.984,xlm-roberta-large
331,0.99,0.865734,0.802953,0.984,google/rembert
332,0.99,0.872991,0.802953,0.984,xlm-roberta-large
333,0.99,0.872991,0.802953,0.984,google/rembert
334,0.99,0.847826,0.802953,0.984,xlm-roberta-large
335,0.99,0.847826,0.802953,0.984,google/rembert
336,0.99,0.884396,0.802953,0.984,xlm-roberta-large
337,0.99,0.884396,0.802953,0.984,google/rembert
338,0.99,0.884396,0.802953,0.984,xlm-roberta-large
339,0.99,0.884396,0.802953,0.984,google/rembert
340,0.99,0.884396,0.802953,0.984,xlm-roberta-large
